data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
1/2012,49570290,3.477777778,3239024,71161674,13752,201015824,100.27,8.3,2782,13683.6
2/2012,48864586,3.652555556,3071704,67497067,13755,201112843,102.2,8.3,2533,13798.1
3/2012,53643176,3.968,3392729,72997067,13765,201204020,106.16,8.2,2954,13877.1
4/2012,52132747,4.044444444,3210929,70202157,13771,201465822,103.32,8.2,2906,13954.9
5/2012,53704907,3.937666667,3349558,73267622,13786,201507876,94.66,8.2,3145,13944.6
6/2012,52832426,3.750222222,3260047,71146454,13826,201439508,82.3,8.2,3235,13938.1
7/2012,52233878,3.601777778,3303285,72703419,13889,201432259,87.9,8.2,3336,13859.9
8/2012,53722344,3.859333333,3406884,75210284,13892,201501300,94.13,8.1,3267,13879.8
9/2012,51099400,3.976888889,3124012,68783725,13895,201625691,94.51,7.8,3151,14028.2
10/2012,53185110,3.894222222,3172876,69966143,13866,201720094,89.49,7.8,3090,14164.6
11/2012,47995624,3.612888889,2935285,63522286,13596,201771160,86.53,7.7,3022,14346.4
12/2012,48541890,3.449777778,3191570,70434083,13714,201894145,87.86,7.9,2994,14696.7
1/2013,50927399,3.433555556,3427672,75688411,14455,201742752,94.76,8,2642,13996.7
2/2013,47251539,3.783,3081975,67891689,14463,201884603,95.31,7.7,2296,14015.4
3/2013,53003267,3.842555556,3414828,75408621,14484,202100573,92.94,7.5,2791,14046.4
4/2013,53779002,3.733777778,3401218,75244192,14497,202102408,92.02,7.6,2719,14089.6
5/2013,55255153,3.799111111,3503984,77288832,14703,202295144,94.51,7.5,2988,14168.4
6/2013,53330571,3.809666667,3328185,73595475,14707,202333369,95.77,7.5,3181,14200.8
7/2013,56259418,3.761666667,3496936,76867266,15256,202340092,104.67,7.3,3119,14191.1
8/2013,55746480,3.738333333,3534714,78049909,15257,202431814,106.57,7.2,3378,14240.1
9/2013,54059590,3.689333333,3318912,73295947,15262,202612239,106.29,7.2,3184,14301.2
10/2013,57756607,3.507777778,3545834,78023347,15281,202634390,100.54,7.2,3173,14290.7
11/2013,52354661,3.385777778,3322865,73553034,15268,202703524,93.86,6.9,3076,14357.7
