data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
1/2012,3269375,3.48,136995,3127368,1144,201015824,100.27,8.3,2782,13683.6
2/2012,3347163,3.65,136383,3064021,1143,201112843,102.2,8.3,2533,13798.1
3/2012,3614384,3.97,148682,3303134,1131,201204020,106.16,8.2,2954,13877.1
4/2012,3483236,4.04,136581,3098535,1139,201465822,103.32,8.2,2906,13954.9
5/2012,3684148,3.94,143583,3242967,1139,201507876,94.66,8.2,3145,13944.6
6/2012,3488302,3.75,137802,3122947,1139,201439508,82.3,8.2,3235,13938.1
7/2012,3484909,3.6,138922,3162486,1137,201432259,87.9,8.2,3336,13859.9
8/2012,3709657,3.86,149020,3381144,1145,201501300,94.13,8.1,3267,13879.8
9/2012,3334656,3.98,128957,2909555,1154,201625691,94.51,7.8,3151,14028.2
10/2012,3797916,3.89,140032,3299955,1160,201720094,89.49,7.8,3090,14164.6
11/2012,3328031,3.61,136062,3123233,1157,201771160,86.53,7.7,3022,14346.4
12/2012,3028319,3.45,138903,3111338,1169,201894145,87.86,7.9,2994,14696.7
1/2013,5064630,3.43,241339,6009388,1866,201742752,94.76,8,2642,13996.7
2/2013,4648251,3.78,223671,5577923,1867,201884603,95.31,7.7,2296,14015.4
3/2013,5006071,3.84,241629,6073567,1866,202100573,92.94,7.5,2791,14046.4
4/2013,5328776,3.73,239140,6081638,1867,202102408,92.02,7.6,2719,14089.6
5/2013,5381209,3.8,243057,6184002,1862,202295144,94.51,7.5,2988,14168.4
6/2013,5034744,3.81,227404,5835677,1865,202333369,95.77,7.5,3181,14200.8
7/2013,5542131,3.76,249509,6319697,1983,202340092,104.67,7.3,3119,14191.1
8/2013,5526378,3.74,249720,6312675,1983,202431814,106.57,7.2,3378,14240.1
9/2013,5284062,3.69,232654,5905411,1986,202612239,106.29,7.2,3184,14301.2
10/2013,5972032,3.51,259768,6490122,2003,202634390,100.54,7.2,3173,14290.7
11/2013,5036631,3.39,234885,5918379,1988,202703524,93.86,6.9,3076,14357.7
12/2013,4851874,3.43,242977,6171183,1988,202730225,97.63,6.7,2822,14425.7
1/2014,5379611,3.47,259047,6400897,2131,202496108,94.62,6.6,2572,14529.9
2/2014,5078366,3.5,236195,5865890,2125,202565810,100.82,6.7,2248,14620.1
3/2014,5769775,3.69,265300,6652183,2134,202699623,100.8,6.7,2589,14725.2
4/2014,5903040,3.82,262403,6649030,2132,202788604,102.07,6.2,2720,14800.2
5/2014,5904992,3.83,263120,6754279,2140,202919585,102.18,6.3,3038,14872.4
6/2014,5906516,3.85,258642,6639712,2153,203091024,105.79,6.1,3084,14951.3
7/2014,6078623,3.77,276727,7044059,2176,203113412,103.59,6.2,3227,15026.9
8/2014,5807631,3.68,268781,6851822,2175,203210204,96.54,6.1,3277,15105.5
9/2014,5891825,3.61,263273,6670802,2150,203258716,93.21,5.9,3069,15166
10/2014,6338917,3.36,283297,7084972,2158,203281177,84.4,5.7,3304,15233.2
11/2014,5203896,3.09,246501,6237103,2156,203373143,75.79,5.8,3175,15304.9
12/2014,5433562,2.74,269892,6826284,2161,203428333,59.29,5.6,3095,15383.1
1/2015,5223046,2.29,250924,6304561,2110,203886243,47.22,5.7,2754,15444.5
2/2015,5114270,2.36,235632,5941322,2108,203942407,50.58,5.5,2350,15525.3
3/2015,5885438,2.63,265637,6668941,2109,204008887,47.82,5.4,2764,15523.4
4/2015,5794975,2.65,263070,6547607,2106,204004917,54.45,5.4,2830,15581.5
5/2015,5558520,2.89,248940,6348788,2125,204230009,59.27,5.6,3339,15650.7
6/2015,5957286,2.97,263966,6702972,2138,204415184,59.82,5.3,3222,15687.4
7/2015,5931098,2.96,272582,6937530,2153,204503249,50.9,5.2,3530,15727.5
8/2015,5706504,2.85,263271,6786718,2152,204556998,42.87,5.1,3642,15761.1
9/2015,5612571,2.59,255812,6555905,2134,204534495,45.48,5,3372,15782.3
10/2015,5975991,2.47,267631,6751253,2137,204577489,46.22,5,3550,15822.4
11/2015,5251198,2.33,246299,6240440,2131,204606795,42.44,5.1,3159,15831
12/2015,5300410,2.24,267923,6713672,2131,204722291,37.19,5,3245,15885.7
1/2016,5210991,2.15,245568,6066609,2091,205114346,31.68,4.8,2734,15906.1
2/2016,5378751,1.95,248422,6125329,2090,205167220,30.32,4.9,2820,15906.3
3/2016,6090392,2.14,281519,6838666,2107,205300957,37.55,5,3105,15943.3
4/2016,5522354,2.29,253248,6294640,2108,205226949,40.75,5.1,3152,15974.1
5/2016,5667012,2.46,258685,6467883,2121,205442006,46.71,4.8,3481,15993.9
6/2016,5865513,2.55,267101,6623284,2143,205609414,48.76,4.9,3542,16038.1
7/2016,5451306,2.45,258472,6497238,2190,205719397,44.65,4.8,3582,16105
8/2016,6030873,2.38,281413,7031433,2197,205719556,44.72,4.9,3600,16142.6
9/2016,5671688,2.4,262038,6503388,2159,205755486,45.18,5,3612,16207.3
10/2016,5694691,2.43,262001,6490694,2151,205821266,49.78,4.9,3834,16264.5
11/2016,5430644,2.38,255845,6274796,2147,205810607,45.66,4.7,3535,16307.3
12/2016,5020325,2.44,264623,6474561,2148,205952370,51.97,4.7,3330,16374.1
1/2017,5335754,2.54,254545,6138086,2095,205348488,52.5,4.7,3034,16489.3
2/2017,4968651,2.49,240379,5718156,2098,205356418,53.47,4.6,2748,16557.5
3/2017,5950463,2.52,281678,6700430,2099,205273196,49.33,4.4,3164,16609.1
4/2017,5276882,2.62,249172,6110706,2101,205381036,51.06,4.4,3238,16667.2
5/2017,5770196,2.62,267412,6547115,2106,205501021,48.48,4.4,3416,16763.7
6/2017,5692201,2.57,268330,6540190,2136,205684852,45.18,4.3,3492,16791
7/2017,5331520,2.52,258866,6385317,2214,205734953,46.63,4.3,3730,16848
8/2017,5766609,2.58,280207,6808527,2179,205719745,48.04,4.4,3409,16907.9
9/2017,5306134,3,252439,6166593,2158,205701196,49.82,4.3,3572,17008.3
10/2017,5794749,2.73,272310,6559012,2150,205668965,51.58,4.2,3629,17087.2
11/2017,5258880,2.8,257916,6177555,2145,205658409,56.64,4.2,3408,17146.6
12/2017,4723840,2.71,258621,6262901,2141,205806674,57.88,4.1,3391,17202.4
1/2018,5253141,2.75,263872,6390094,2112,206346940,63.7,4,3010,17294.8
2/2018,4972773,2.78,244589,5810410,2110,206317503,62.23,4.1,2734,17354.1
3/2018,5572771,2.8,278170,6514734,2114,206383077,62.73,4,3015,17416
4/2018,5374882,2.97,257361,6243852,2114,206261954,66.25,4,2979,17472.7
5/2018,5687407,3.1,269089,6473997,2121,206525270,69.98,3.8,3443,17547.6
6/2018,5452078,3.09,265295,6393618,2159,206657479,67.87,4,3514,17631.9
7/2018,5444442,3.05,274412,6566902,2196,206650641,70.98,3.8,3552,17734.2
8/2018,5723869,3.02,293899,7001455,2188,206657370,68.06,3.8,3490,17816.8
9/2018,5065382,3.02,248058,5952689,2187,206648866,70.23,3.7,3579,17850.7
10/2018,5910618,3.06,282264,6733597,2185,206617295,70.75,3.8,3657,17919.9
11/2018,5036044,2.88,262201,6197809,2176,206644804,56.96,3.8,3250,17975.9
12/2018,4654109,2.62,261690,6209822,2173,206769542,49.52,3.9,3181,18190.9
1/2019,5211946,2.49,269017,6482397,2098,206196394,51.38,4,2670,18254.2
2/2019,4705750,2.52,249390,5899651,2099,206166530,54.95,3.8,2393,18348.5
3/2019,5379986,2.7,279025,6534571,2114,206114283,58.15,3.8,2769,18433.4
4/2019,5425253,3,270373,6520352,2105,206162029,63.86,3.6,2820,18475.5
5/2019,5489654,3.11,280586,6668806,2121,206453694,60.83,3.7,3172,18500
6/2019,5173127,2.98,263400,6206614,2142,206561344,54.66,3.6,3201,18539.1
7/2019,5434963,2.97,279596,6698599,2164,206397625,57.35,3.7,3304,18573.3
8/2019,5453145,2.86,287859,6762093,2157,206400820,54.81,3.7,3359,18670.6
9/2019,5158480,2.84,259493,6192214,2139,206333366,56.95,3.5,3331,18722.6
10/2019,5805506,2.89,282984,6701328,2108,206239378,53.96,3.6,3227,18791.9
11/2019,4847468,2.86,261328,6074285,2100,206318945,57.03,3.6,3084,18880.2
12/2019,4565260,2.81,270323,6295999,2098,206395325,59.88,3.6,3025,18854.8
1/2020,5150970,2.78,275831,6490713,2030,205737427,57.52,3.5,2667,19065.2
2/2020,4872287,2.7,256534,5985333,2034,205614513,50.54,3.5,2677,19197
3/2020,2615519,2.48,234288,5382264,2045,205454614,29.21,4.4,2557,18838.8
4/2020,379738,2.11,88968,1974101,1233,206819027,16.55,14.7,2322,21050.3
5/2020,465933,2.15,88777,1814084,1081,206810593,28.56,13.2,3112,20216.6
6/2020,739053,2.35,133879,2783433,1196,205487203,38.31,11,3730,20171.3
7/2020,928096,2.44,155794,3500301,1233,205345032,40.71,10.2,3797,20379.3
8/2020,956325,2.43,146427,3292128,1232,205773417,42.34,8.4,3816,19773.2
9/2020,1034003,2.43,143552,3163467,1231,206137782,39.63,7.9,3745,19905.2
