data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
1/2012,32016195,3.477777778,671565,22296431,4675,201015824,100.27,8.3,2782,13683.6
2/2012,30796136,3.652555556,642342,21326210,4679,201112843,102.2,8.3,2533,13798.1
3/2012,33874433,3.968,697598,22894701,4685,201204020,106.16,8.2,2954,13877.1
4/2012,32780400,4.044444444,672556,22098196,4689,201465822,103.32,8.2,2906,13954.9
5/2012,34107031,3.937666667,699982,23000130,4704,201507876,94.66,8.2,3145,13944.6
6/2012,33848884,3.750222222,679055,22222637,4696,201439508,82.3,8.2,3235,13938.1
7/2012,33875660,3.601777778,689856,22650093,4720,201432259,87.9,8.2,3336,13859.9
8/2012,34897370,3.859333333,716423,23543829,4715,201501300,94.13,8.1,3267,13879.8
9/2012,32506177,3.976888889,650409,21385203,4709,201625691,94.51,7.8,3151,14028.2
10/2012,33818791,3.894222222,678188,22005271,4707,201720094,89.49,7.8,3090,14164.6
11/2012,30616585,3.612888889,618014,18961188,4672,201771160,86.53,7.7,3022,14346.4
12/2012,31976926,3.449777778,670850,22039517,4676,201894145,87.86,7.9,2994,14696.7
1/2013,32054408,3.433555556,702469,22875166,4672,201742752,94.76,8,2642,13996.7
2/2013,29435013,3.783,630280,20387493,4679,201884603,95.31,7.7,2296,14015.4
3/2013,32964682,3.842555556,700770,22828541,4701,202100573,92.94,7.5,2791,14046.4
4/2013,33397067,3.733777778,707177,22903169,4695,202102408,92.02,7.6,2719,14089.6
5/2013,34071174,3.799111111,732012,23557228,4712,202295144,94.51,7.5,2988,14168.4
6/2013,33259635,3.809666667,698200,22506411,4706,202333369,95.77,7.5,3181,14200.8
7/2013,34942351,3.761666667,729231,23634980,5136,202340092,104.67,7.3,3119,14191.1
8/2013,34541741,3.738333333,739696,23836697,5145,202431814,106.57,7.2,3378,14240.1
9/2013,33041093,3.689333333,690504,22309680,5147,202612239,106.29,7.2,3184,14301.2
10/2013,35449797,3.507777778,741566,24054126,5149,202634390,100.54,7.2,3173,14290.7
11/2013,32698430,3.385777778,690601,22495422,5149,202703524,93.86,6.9,3076,14357.7
12/2013,33435838,3.427555556,715108,23355456,5151,202730225,97.63,6.7,2822,14425.7
1/2014,32015986,3.465444444,710353,23057545,5125,202496108,94.62,6.6,2572,14529.9
2/2014,30341159,3.495666667,618476,21038782,5130,202565810,100.82,6.7,2248,14620.1
3/2014,33626876,3.694,711905,23432034,5170,202699623,100.8,6.7,2589,14725.2
4/2014,34532301,3.820888889,724128,23497513,5177,202788604,102.07,6.2,2720,14800.2
5/2014,34426013,3.825777778,729944,23630555,5195,202919585,102.18,6.3,3038,14872.4
