data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
1/2012,257348985,3.477777778,2250743,43495491,7468,201015824,100.27,8.3,2782,13683.6
2/2012,263214201,3.652555556,2121095,40962988,7468,201112843,102.2,8.3,2533,13798.1
3/2012,274779607,3.968,2361331,44491847,7484,201204020,106.16,8.2,2954,13877.1
4/2012,260409684,4.044444444,2225362,42831824,7478,201465822,103.32,8.2,2906,13954.9
5/2012,274998121,3.937666667,2323680,44778280,7478,201507876,94.66,8.2,3145,13944.6
6/2012,262681191,3.750222222,2269154,43664336,7526,201439508,82.3,8.2,3235,13938.1
7/2012,268671705,3.601777778,2298529,44688422,7536,201432259,87.9,8.2,3336,13859.9
8/2012,276556076,3.859333333,2364347,46031032,7536,201501300,94.13,8.1,3267,13879.8
9/2012,268982656,3.976888889,2181668,42379046,7536,201625691,94.51,7.8,3151,14028.2
10/2012,269922443,3.894222222,2181798,42440112,7502,201720094,89.49,7.8,3090,14164.6
11/2012,260828925,3.612888889,2017303,39339511,7270,201771160,86.53,7.7,3022,14346.4
12/2012,264417233,3.449777778,2215266,43110429,7372,201894145,87.86,7.9,2994,14696.7
1/2013,267869607,3.433555556,2311748,44580469,7390,201742752,94.76,8,2642,13996.7
2/2013,243154778,3.783,2072645,39923136,7390,201884603,95.31,7.7,2296,14015.4
3/2013,276114325,3.842555556,2298053,44271513,7390,202100573,92.94,7.5,2791,14046.4
4/2013,275885086,3.733777778,2280275,44021911,7404,202102408,92.02,7.6,2719,14089.6
5/2013,282671430,3.799111111,2336517,45062738,7598,202295144,94.51,7.5,2988,14168.4
6/2013,277027012,3.809666667,2216258,42881995,7598,202333369,95.77,7.5,3181,14200.8
7/2013,272537768,3.761666667,2320714,44396709,7600,202340092,104.67,7.3,3119,14191.1
8/2013,278075220,3.738333333,2347687,45378433,7592,202431814,106.57,7.2,3378,14240.1
9/2013,281805276,3.689333333,2209696,42695353,7592,202612239,106.29,7.2,3184,14301.2
10/2013,304999499,3.507777778,2344316,45022263,7592,202634390,100.54,7.2,3173,14290.7
11/2013,274150903,3.385777778,2209451,42775804,7594,202703524,93.86,6.9,3076,14357.7
12/2013,271685911,3.427555556,2305856,44665895,7596,202730225,97.63,6.7,2822,14425.7
1/2014,259894355,3.465444444,2319153,45007479,7605,202496108,94.62,6.6,2572,14529.9
2/2014,257888376,3.495666667,2088970,40448628,7609,202565810,100.82,6.7,2248,14620.1
3/2014,297515990,3.694,2293056,44374416,7610,202699623,100.8,6.7,2589,14725.2
4/2014,293665521,3.820888889,2290463,44424350,7612,202788604,102.07,6.2,2720,14800.2
