data,Total_UPT,avg_fuel_price,Total_VRH,Total_VRM,Total_VOMS,working_age_pop,crude_oil_price,unemp_rate,nr_accidents,personal_income
1/2012,14284720,3.477777778,179721,2242384,465,201015824,100.27,8.3,2782,13683.6
2/2012,14721287,3.652555556,171884,2143848,465,201112843,102.2,8.3,2533,13798.1
3/2012,16154359,3.968,185118,2307385,465,201204020,106.16,8.2,2954,13877.1
4/2012,15869111,4.044444444,176430,2173602,465,201465822,103.32,8.2,2906,13954.9
5/2012,15913728,3.937666667,182313,2246245,465,201507876,94.66,8.2,3145,13944.6
6/2012,15495240,3.750222222,174036,2136534,465,201439508,82.3,8.2,3235,13938.1
7/2012,14873309,3.601777778,175978,2202418,496,201432259,87.9,8.2,3336,13859.9
8/2012,15115317,3.859333333,177094,2254279,496,201501300,94.13,8.1,3267,13879.8
9/2012,15258567,3.976888889,162978,2109921,496,201625691,94.51,7.8,3151,14028.2
10/2012,15568403,3.894222222,172858,2220805,497,201720094,89.49,7.8,3090,14164.6
11/2012,14051008,3.612888889,163906,2098354,497,201771160,86.53,7.7,3022,14346.4
12/2012,13536645,3.449777778,166551,2172799,497,201894145,87.86,7.9,2994,14696.7
1/2013,13808361,3.433555556,172116,2223388,527,201742752,94.76,8,2642,13996.7
2/2013,13168275,3.783,155379,2003137,527,201884603,95.31,7.7,2296,14015.4
3/2013,15032514,3.842555556,174376,2235000,527,202100573,92.94,7.5,2791,14046.4
4/2013,15053159,3.733777778,174626,2237474,531,202102408,92.02,7.6,2719,14089.6
5/2013,15802770,3.799111111,192398,2484864,531,202295144,94.51,7.5,2988,14168.4
6/2013,15036192,3.809666667,186323,2371392,538,202333369,95.77,7.5,3181,14200.8
7/2013,15774936,3.761666667,197482,2515880,537,202340092,104.67,7.3,3119,14191.1
8/2013,15678361,3.738333333,197611,2522104,537,202431814,106.57,7.2,3378,14240.1
9/2013,15734435,3.689333333,186058,2385503,537,202612239,106.29,7.2,3184,14301.2
10/2013,16334778,3.507777778,200184,2456836,537,202634390,100.54,7.2,3173,14290.7
11/2013,14619600,3.385777778,187928,2363429,537,202703524,93.86,6.9,3076,14357.7
12/2013,14461666,3.427555556,193103,2479111,538,202730225,97.63,6.7,2822,14425.7
1/2014,15381554,3.465444444,199553,2551252,546,202496108,94.62,6.6,2572,14529.9
2/2014,14889498,3.495666667,180893,2322178,546,202565810,100.82,6.7,2248,14620.1
3/2014,16294812,3.694,200535,2595169,547,202699623,100.8,6.7,2589,14725.2
4/2014,17664085,3.820888889,192138,2471305,546,202788604,102.07,6.2,2720,14800.2
5/2014,17572008,3.825777778,193089,2481606,546,202919585,102.18,6.3,3038,14872.4
6/2014,16887424,3.850333333,193102,2460716,546,203091024,105.79,6.1,3084,14951.3
7/2014,16358899,3.770222222,197047,2536052,547,203113412,103.59,6.2,3227,15026.9
8/2014,16349128,3.680888889,196510,2523441,547,203210204,96.54,6.1,3277,15105.5
9/2014,16666524,3.606555556,191785,2458475,547,203258716,93.21,5.9,3069,15166
10/2014,17297716,3.357111111,200912,2563591,547,203281177,84.4,5.7,3304,15233.2
11/2014,14614947,3.090333333,185283,2344001,547,203373143,75.79,5.8,3175,15304.9
12/2014,14502206,2.742444444,196440,2467151,548,203428333,59.29,5.6,3095,15383.1
1/2015,13735736,2.29,191632,2466598,552,203886243,47.22,5.7,2754,15444.5
2/2015,12648601,2.360222222,166925,2197129,552,203942407,50.58,5.5,2350,15525.3
3/2015,15700383,2.630888889,202131,2619879,553,204008887,47.82,5.4,2764,15523.4
4/2015,15516434,2.650444444,199695,2567919,552,204004917,54.45,5.4,2830,15581.5
5/2015,15135914,2.885888889,201397,2569662,571,204230009,59.27,5.6,3339,15650.7
6/2015,15474277,2.972,211993,2671698,571,204415184,59.82,5.3,3222,15687.4
7/2015,17233823,2.956444444,219837,2766337,571,204503249,50.9,5.2,3530,15727.5
8/2015,17200405,2.849333333,212746,2686013,571,204556998,42.87,5.1,3642,15761.1
9/2015,17351797,2.591222222,207703,2645876,579,204534495,45.48,5,3372,15782.3
10/2015,17306997,2.469888889,220095,2790093,579,204577489,46.22,5,3550,15822.4
11/2015,15139213,2.329444444,205753,2628048,579,204606795,42.44,5.1,3159,15831
12/2015,14884485,2.239222222,219732,2803230,579,204722291,37.19,5,3245,15885.7
1/2016,14238682,2.148333333,215538,2707227,576,205114346,31.68,4.8,2734,15906.1
2/2016,15009555,1.951888889,204491,2599300,576,205167220,30.32,4.9,2820,15906.3
3/2016,16791174,2.143333333,225723,2876581,576,205300957,37.55,5,3105,15943.3
4/2016,17609610,2.290888889,215511,2742181,581,205226949,40.75,5.1,3152,15974.1
5/2016,17659807,2.456333333,224914,2791130,576,205442006,46.71,4.8,3481,15993.9
6/2016,17791426,2.554888889,214279,2737501,581,205609414,48.76,4.9,3542,16038.1
7/2016,16818882,2.448111111,219991,2786479,584,205719397,44.65,4.8,3582,16105
8/2016,17404813,2.375,230330,2890649,584,205719556,44.72,4.9,3600,16142.6
9/2016,17518091,2.404555556,223862,2830466,600,205755486,45.18,5,3612,16207.3
10/2016,17490299,2.433555556,229187,2896540,600,205821266,49.78,4.9,3834,16264.5
11/2016,16360210,2.381111111,227873,2881344,600,205810607,45.66,4.7,3535,16307.3
12/2016,15503475,2.444222222,223651,2853875,600,205952370,51.97,4.7,3330,16374.1
1/2017,15740784,2.540666667,224741,2788395,603,205348488,52.5,4.7,3034,16489.3
2/2017,15337004,2.493111111,212762,2706464,619,205356418,53.47,4.6,2748,16557.5
3/2017,17751752,2.522111111,244020,3140461,619,205273196,49.33,4.4,3164,16609.1
4/2017,16826754,2.620111111,226450,2958976,619,205381036,51.06,4.4,3238,16667.2
5/2017,17243756,2.615222222,236899,3110892,619,205501021,48.48,4.4,3416,16763.7
6/2017,17273554,2.570777778,237041,3156602,619,205684852,45.18,4.3,3492,16791
7/2017,16841450,2.517,238691,3023447,629,205734953,46.63,4.3,3730,16848
8/2017,17205010,2.582444444,240873,3072643,629,205719745,48.04,4.4,3409,16907.9
9/2017,17084923,3.000666667,231908,2940499,629,205701196,49.82,4.3,3572,17008.3
10/2017,17283474,2.731,244693,3114815,627,205668965,51.58,4.2,3629,17087.2
11/2017,15671647,2.798888889,236361,2991914,627,205658409,56.64,4.2,3408,17146.6
12/2017,14932655,2.712,238862,3048662,627,205806674,57.88,4.1,3391,17202.4
1/2018,15421520,2.752333333,233168,2980954,631,206346940,63.7,4,3010,17294.8
2/2018,15042713,2.784777778,216374,2744094,632,206317503,62.23,4.1,2734,17354.1
3/2018,16652029,2.801555556,236013,2993147,635,206383077,62.73,4,3015,17416
4/2018,16766495,2.966555556,226395,2865198,636,206261954,66.25,4,2979,17472.7
5/2018,17242784,3.098666667,237040,3004226,634,206525270,69.98,3.8,3443,17547.6
6/2018,16902381,3.092111111,229453,2939417,634,206657479,67.87,4,3514,17631.9
7/2018,17212995,3.048111111,207639,2787897,634,206650641,70.98,3.8,3552,17734.2
8/2018,17575084,3.015555556,225272,2957731,636,206657370,68.06,3.8,3490,17816.8
9/2018,17081626,3.024555556,221532,2839882,633,206648866,70.23,3.7,3579,17850.7
10/2018,18300368,3.056111111,237604,3035789,637,206617295,70.75,3.8,3657,17919.9
11/2018,16570341,2.879222222,228361,2933767,634,206644804,56.96,3.8,3250,17975.9
12/2018,15103513,2.621333333,225724,2919213,635,206769542,49.52,3.9,3181,18190.9
1/2019,15989587,2.489111111,237699,3151717,623,206196394,51.38,4,2670,18254.2
2/2019,14927099,2.521222222,204024,2745997,620,206166530,54.95,3.8,2393,18348.5
3/2019,16562754,2.703444444,235836,3102915,618,206114283,58.15,3.8,2769,18433.4
4/2019,16862401,3.000444444,251010,3209673,619,206162029,63.86,3.6,2820,18475.5
5/2019,16500792,3.109888889,257303,3310510,626,206453694,60.83,3.7,3172,18500
6/2019,15775534,2.978555556,244307,3160714,625,206561344,54.66,3.6,3201,18539.1
7/2019,17238377,2.974222222,264116,3258768,632,206397625,57.35,3.7,3304,18573.3
8/2019,17591856,2.860555556,256107,3255134,632,206400820,54.81,3.7,3359,18670.6
9/2019,16756794,2.839444444,247169,3091093,631,206333366,56.95,3.5,3331,18722.6
10/2019,17843853,2.890333333,259443,3265217,631,206239378,53.96,3.6,3227,18791.9
11/2019,15349651,2.856,240593,3067170,631,206318945,57.03,3.6,3084,18880.2
12/2019,15449630,2.806444444,246394,3183939,631,206395325,59.88,3.6,3025,18854.8
1/2020,15934742,2.777666667,244636,2944466,619,205737427,57.52,3.5,2667,19065.2
2/2020,14957065,2.695333333,225157,2743215,614,205614513,50.54,3.5,2677,19197
3/2020,10676738,2.475444444,227296,2826537,614,205454614,29.21,4.4,2557,18838.8
4/2020,1889904,2.109111111,127463,1732491,373,206819027,16.55,14.7,2322,21050.3
5/2020,2356063,2.147111111,153944,1839526,388,206810593,28.56,13.2,3112,20216.6
6/2020,2756568,2.35,146476,1917528,400,205487203,38.31,11,3730,20171.3
7/2020,3235120,2.439333333,147605,2007386,412,205345032,40.71,10.2,3797,20379.3
8/2020,3613070,2.434888889,144878,1988214,408,205773417,42.34,8.4,3816,19773.2
9/2020,3978367,2.426111111,142403,1958605,407,206137782,39.63,7.9,3745,19905.2
10/2020,4228059,2.389888889,150740,2099761,407,206082651,39.4,6.9,3814,19878.9
11/2020,3614412,2.337444444,151821,1976854,410,206170257,40.94,6.7,3484,19692.2
12/2020,3502736,2.410777778,154187,2003124,404,206082419,47.02,6.7,3286,19819.7
1/2021,3613928,2.548111111,162504,2118131,451,204949498,52,6.3,3414,21725.4
2/2021,3607616,2.704888889,155836,1967159,444,204907618,59.04,6.2,2792,20189.4
3/2021,4553441,3.023888889,168461,2193892,449,205020384,62.33,6.1,3492,24371.9
4/2021,4602492,3.097333333,161082,2056599,448,205335333,61.72,6.1,3868,21180.9
5/2021,5450451,3.221555556,176366,2226202,502,205618556,65.17,5.8,4098,20769.3
6/2021,6659872,3.318333333,181622,2334728,489,205362834,71.38,5.9,4107,20798.9
